owner,name,branch,python,node,postgresql,nginx,solr
danesjenovdan,zip,main,python:3.13-slim-bookworm,,postgres:15-alpine,,
danesjenovdan,kvak,main,python:3.12-slim-bookworm,,postgres:15-alpine,,
danesjenovdan,wagtailtinymce,master,,,,,
danesjenovdan,zagreb-parser,main,,,,,
danesjenovdan,razkrinkaj-ai,main,python:3.12-slim-bookworm,node:20-alpine;node:20-alpine,postgres:15-alpine,nginx:alpine,
danesjenovdan,classla,master,,,,,
danesjenovdan,ai-registry,main,python:3.12-slim-bookworm;python:3.12-slim-bookworm,node:22-alpine;node:22-alpine,postgres:15-alpine,,
danesjenovdan,cnvos-acf,main,python:3.11-slim-bookworm;python:3.11-slim-bookworm,,postgres:15-alpine,,
danesjenovdan,parladata_base_api,main,,,,,
danesjenovdan,izvoli.eu,main,python:3.9,node:20-alpine;node:20-alpine,postgres:latest,nginx:alpine,
danesjenovdan,brigade2,main,,node:20-alpine,,nginx:alpine,
danesjenovdan,spruce,main,,,,,
danesjenovdan,odprti-racuni-obcine-lite,main,python:3.9,,postgres:latest,,
danesjenovdan,krtk,dev,python:3.13-slim-bookworm,,postgres:15-alpine,,
danesjenovdan,snakes-and-ladders,dev,,node:20-alpine;node:20-alpine,,nginx:alpine,
danesjenovdan,djnCAPTCHA,dev,,,,nginx:alpine,
danesjenovdan,calcom-docker,main,,node:18,postgres,,
danesjenovdan,klub-ada,main,,node:20-alpine,,,
danesjenovdan,disco,main,python:3.11.2-slim-bullseye;python:3.11.2-slim-bullseye,node:18-alpine;node:18-alpine,postgres:12.3-alpine,,
danesjenovdan,ppp,main,python:3.9,,postgres:15,,
danesjenovdan,media-literacy,dev,,,,,
danesjenovdan,center-rog,dev,python:3.11.5-slim-bookworm;python:3.11.5-slim-bookworm,node:18-alpine;node:18-alpine,postgres:15-alpine,,
danesjenovdan,odprti-racuni-obcine,main,python:3.12,,postgres:latest,,
danesjenovdan,melita,dev,python:3.11.2-slim-bullseye;python:3.11.2-slim-bullseye,node:18-alpine;node:18-alpine,postgres:12.3-alpine,,
danesjenovdan,advent,2022,,,,,
danesjenovdan,podpri-novicnik,main,,,,,
danesjenovdan,presupuesto,master,,,,,
danesjenovdan,lesson-plans,main,python:latest,node:16-alpine,postgres:12.3-alpine,nginx:alpine,
danesjenovdan,djnd-alavetelitheme,master,,,,,
danesjenovdan,alaveteli,develop,,,postgres:13.5,,
danesjenovdan,newsgradient-analize,main,python:3.9,,,,
danesjenovdan,brezgreha.si,main,python:3.9,,,nginx:alpine,
danesjenovdan,odprti-racuni,main,python:3.12,,postgres:latest,,
danesjenovdan,futr-za-jutr,dev,,node:16-alpine,,nginx:alpine,
danesjenovdan,otvaraj,main,,node:16-alpine,,nginx:alpine,
danesjenovdan,rule-of-law-reporting,main,,node:16-alpine,,nginx:alpine,
danesjenovdan,parla-parser,main,,,,,
danesjenovdan,pictshare,master,,,,,
danesjenovdan,volitvomat,main,,node:16-alpine,,nginx:alpine,
danesjenovdan,zamerim,main,,node:16-alpine,,nginx:alpine,
danesjenovdan,vejice,main,,,,,
danesjenovdan,ajdovscina-parser,dev,,,,,
danesjenovdan,glas-ljudstva.si,main,python:3.9,,postgres:latest,,
danesjenovdan,novdan,main,python:3.10,node:14-alpine,postgres:15,,
danesjenovdan,sramota,main,,,,nginx:alpine,
danesjenovdan,odmevi-prve-epidemije,main,,,,,
danesjenovdan,sl-parser,main,,,,,
danesjenovdan,stanovanjske-zadruge-zemljevid,master,python:3.8,node:14-alpine,,nginx:alpine,
danesjenovdan,settlement-newday,newday,,node:alpine,,,
danesjenovdan,lestvica-transparentnosti,main,python:3.9,node:16-alpine,,nginx:alpine,
danesjenovdan,najemniski-sos,master,python:3.10-slim-bullseye;python:3.10-slim-bullseye,node:16-alpine;node:14-alpine,postgres:15-alpine,,
danesjenovdan,ua-parser,main,,,,,
danesjenovdan,parlamint,master,,,postgres:latest,,
danesjenovdan,newsgradient,master,python:3.8,node:16-alpine,postgres:latest,,
danesjenovdan,plausible,master,,,postgres:12,,
danesjenovdan,obljuba-dela-dolg,dev,python:3.8.1-slim-buster;python:3.8.1-slim-buster,node:16-alpine;node:14-alpine,postgres:12.3-alpine,,
danesjenovdan,mol-parser,main,,,,,
danesjenovdan,stop-your-government,dev,,node:14-alpine,,nginx:alpine,
danesjenovdan,hudapobuda,dev,python:3.8.1-slim-buster;python:3.8.1-slim-buster,node:14-alpine;node:14-alpine,postgres:12.3-alpine,,
danesjenovdan,ops,main,python:3.12,,bitnami/postgresql:15.7.0-debian-12-r11,nginx:alpine,
danesjenovdan,meta-image-generator,dev,,node:22-alpine,,,
danesjenovdan,djnd-infra,main,,,,,
danesjenovdan,installer,master,,,,,
danesjenovdan,motionsearch,develop,python:3.9,node:alpine,postgres:12.3-alpine,nginx:alpine,
danesjenovdan,outline,main,,node:16.14.2-alpine3.15;node:16.14.2-alpine3.15,postgres,,
danesjenovdan,izboljsajmo-maribor,main,,node:14-alpine,,,
danesjenovdan,debateland,main,python:3.11.2-slim-bullseye,,,,
danesjenovdan,pravnamreza,dev,python:3.13-slim-bookworm,,postgres:15-alpine,,
danesjenovdan,creativecommons.si,main,,node:16-alpine,,nginx:alpine,
danesjenovdan,abakus,master,,node:16-alpine,,nginx:alpine,
danesjenovdan,brigade,main,,,,,
danesjenovdan,twito,dev,python:3.9,node:alpine,,nginx:alpine,
danesjenovdan,parlamint-parser,main,python:3.8,,,,
danesjenovdan,katalizatorji,master,,,,,
danesjenovdan,sideflip,master,,,,,
danesjenovdan,kbpjs,master,,node:16-alpine,,nginx:alpine,
danesjenovdan,boter,master,python:rc-slim-buster,,,,
danesjenovdan,eposvetovanja-campaign,master,,,,,
danesjenovdan,parlameter-bih-empty-states-campaign,master,,,,,
danesjenovdan,eposvetovanja-parser,master,,,,,
danesjenovdan,amzs-prijavnice,master,,,,,
danesjenovdan,reference_implementation,master,,,,,
danesjenovdan,twitterati,master,,,,,
danesjenovdan,twint-docker,master,python:3.7-slim-stretch;python:3.7-slim-stretch;python:3.7-slim-stretch;python:3.7-slim-stretch;python:3.7-slim-stretch;python:3.7-slim-stretch;python:3.7-slim-stretch;python:3.7-slim-stretch;python:3.7-slim-stretch;python:3.7-slim-stretch;python:3.7-slim-stretch;python:3.7-slim-stretch;python:3.7-slim-stretch;python:3.7-slim-stretch,,,,
danesjenovdan,neo4j-browser,editor,,node:10-jessie,,nginx:1.15-alpine,
danesjenovdan,stanovanjska-kriza,dev,,node:10-alpine,,nginx:alpine,
danesjenovdan,kjer.si,master,,,,,
danesjenovdan,sms-sender,master,,,,,
danesjenovdan,newsgradient-pwa,v3,,,,,
danesjenovdan,newsgradient-api,master,,,,,
danesjenovdan,dobrodelen,dev,python:3.11.5-slim-bookworm;python:3.11.5-slim-bookworm,node:18-alpine;node:18-alpine,postgres:12.3-alpine,,
danesjenovdan,gp-lottery,master,,,,,
danesjenovdan,djndonacije,main,python:3.8,node:18-alpine,postgres:latest,nginx:alpine,
danesjenovdan,djnapi,master,,,,,
danesjenovdan,parlameter.org,parlameter.org,,node:22-alpine,,nginx:alpine,
danesjenovdan,other,master,,,,nginx:alpine,
danesjenovdan,shortener,master,,,,,
danesjenovdan,commentality-client,master,,,,,
danesjenovdan,stanovanja,master,,,,nginx:alpine,
danesjenovdan,sponzorji-sovrastva,master,,node:14-alpine,,,
danesjenovdan,participatorni-proracun,preverjamo-2025,,node:22-alpine;node:22-alpine,,,
danesjenovdan,meetandcode,master,,node:16-alpine,,nginx:alpine,
